epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,26410.4,0.48472,0.19817,0.00424,0.64632,0.65137,0.66187,0.6052,0.50968,1.74273,0.00874,0.00469043,0.00156348,0.00469043,0.00156348,0.00469043,0.00156348,0.00469043,0.00156348
100,26674.2,0.48812,0.19856,0.00424,0.65013,0.64818,0.66189,0.60441,0.51017,1.74768,0.00874,0.00443217,0.00147739,0.00443217,0.00147739,0.00443217,0.00147739,0.00443217,0.00147739
101,26938.8,0.48707,0.2008,0.00426,0.64565,0.65125,0.66165,0.60506,0.51054,1.74833,0.00876,0.00417391,0.0013913,0.00417391,0.0013913,0.00417391,0.0013913,0.00417391,0.0013913
102,27203.3,0.47957,0.19635,0.00417,0.64723,0.64955,0.66114,0.60436,0.51052,1.74984,0.00874,0.00391565,0.00130522,0.00391565,0.00130522,0.00391565,0.00130522,0.00391565,0.00130522
103,27467.1,0.47872,0.19653,0.00418,0.64742,0.65007,0.65964,0.60269,0.51072,1.75127,0.00874,0.00365739,0.00121913,0.00365739,0.00121913,0.00365739,0.00121913,0.00365739,0.00121913
104,27730.3,0.48,0.19568,0.0042,0.6496,0.64959,0.66059,0.6038,0.5107,1.75216,0.00872,0.00339913,0.00113304,0.00339913,0.00113304,0.00339913,0.00113304,0.00339913,0.00113304
105,27993.4,0.4735,0.19558,0.00412,0.64567,0.65002,0.65966,0.60236,0.51032,1.75684,0.00871,0.00314087,0.00104696,0.00314087,0.00104696,0.00314087,0.00104696,0.00314087,0.00104696
106,28308.2,0.47163,0.15242,0.00522,0.64086,0.65252,0.65918,0.60214,0.51067,1.7605,0.00872,0.00288261,0.00096087,0.00288261,0.00096087,0.00288261,0.00096087,0.00288261,0.00096087
107,28569.9,0.46774,0.14717,0.00506,0.63966,0.64728,0.65885,0.60205,0.51035,1.76438,0.00871,0.00262435,0.000874783,0.00262435,0.000874783,0.00262435,0.000874783,0.00262435,0.000874783
108,28832.1,0.45439,0.14341,0.00493,0.63197,0.65569,0.65866,0.6022,0.51055,1.76597,0.00872,0.00236609,0.000788696,0.00236609,0.000788696,0.00236609,0.000788696,0.00236609,0.000788696
109,29095.9,0.44978,0.14203,0.00487,0.63455,0.65889,0.65779,0.60142,0.51047,1.76802,0.00871,0.00210783,0.000702609,0.00210783,0.000702609,0.00210783,0.000702609,0.00210783,0.000702609
110,29357.9,0.44126,0.1393,0.00472,0.62516,0.6571,0.65649,0.60017,0.5103,1.77371,0.00869,0.00184957,0.000616522,0.00184957,0.000616522,0.00184957,0.000616522,0.00184957,0.000616522
111,29619.9,0.43854,0.13693,0.00471,0.64187,0.64607,0.6554,0.59897,0.50949,1.77725,0.00865,0.0015913,0.000530435,0.0015913,0.000530435,0.0015913,0.000530435,0.0015913,0.000530435
112,29883.1,0.43461,0.13653,0.00467,0.64415,0.64495,0.65581,0.59987,0.509,1.77995,0.00863,0.00133304,0.000444348,0.00133304,0.000444348,0.00133304,0.000444348,0.00133304,0.000444348
113,30143.9,0.43124,0.13611,0.00462,0.64315,0.64263,0.65514,0.59989,0.50916,1.7839,0.00862,0.00107478,0.000358261,0.00107478,0.000358261,0.00107478,0.000358261,0.00107478,0.000358261
114,30404.8,0.43058,0.13458,0.0046,0.64037,0.65076,0.65518,0.60012,0.50805,1.78756,0.00857,0.000816522,0.000272174,0.000816522,0.000272174,0.000816522,0.000272174,0.000816522,0.000272174
115,30666.5,0.43147,0.13423,0.00461,0.64341,0.64737,0.65492,0.60005,0.50789,1.79083,0.00855,0.000558261,0.000186087,0.000558261,0.000186087,0.000558261,0.000186087,0.000558261,0.000186087
